id,group_id,title,abbr
19058,28,Промышленная логистика,ПЛ
19060,28,Правоведение,Правоведен.
19061,28,Безопасность жизнедеятельности,БЖ
19062,28,Менеджмент,Менеджмент
19063,127,Объектно-ориентированное проектирование (ГПО-3),ОП
19064,127,Технологии создания Интернет-приложений,ТСИ
19065,127,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
19066,127,Модели и методы анализа проектных решений,МиМАПР
19067,127,Методы оптимальных решений,МОР
19068,127,Введение в специальность,ВвС
19069,127,Менеджмент,Менеджмент
19070,127,Правоведение,Правоведен.
19071,127,Технологическая практика,ТП
19081,363,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПпППУиОПД
19082,363,Объектно-ориентированное программирование,ОП
19083,363,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
19084,363,Основы электротехники и электроники,ОЭиЭ
19085,363,Теория вероятностей и математическая статистика,ТВиМС
19086,363,Математическая логика и теория алгоритмов,МЛиТА
19087,363,Культурология,Культуролог.
19088,363,Философия,Философия
19089,363,Управление проектами (ГПО-1),УП
19099,374,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПпППУиОПД
19100,374,Объектно-ориентированное программирование,ОП
19101,374,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
19102,374,Основы электротехники и электроники,ОЭиЭ
19103,374,Теория вероятностей и математическая статистика,ТВиМС
19104,374,Математическая логика и теория алгоритмов,МЛиТА
19105,374,Культурология,Культуролог.
19106,374,Философия,Философия
19107,374,Управление проектами (ГПО-1),УП
19108,478,Физика для информатики,ФДИ
19109,478,Операционные системы,ОС
19110,478,Русский язык и культура речи,РЯиКР
19111,478,Физическая культура и спорт,ФКиС
19112,478,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
19113,478,Профессиональный английский язык,ПАЯ
19114,478,История,История
19115,483,Физика для информатики,ФДИ
19116,483,Операционные системы,ОС
19117,483,Русский язык и культура речи,РЯиКР
19118,483,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
19119,483,Профессиональный английский язык,ПАЯ
19120,483,История,История
19121,488,Физика для информатики,ФДИ
19122,488,Операционные системы,ОС
19123,488,Русский язык и культура речи,РЯиКР
19124,488,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
19125,488,Профессиональный английский язык,ПАЯ
19126,488,История,История
20032,469,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20033,469,Физика для информатики,ФДИ
20034,469,Прикладная информатика,ПИ
20035,469,Русский язык и культура речи,РЯиКР
20036,469,История,История
20037,473,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20038,473,Физика для информатики,ФДИ
20039,473,Прикладная информатика,ПИ
20040,473,Русский язык и культура речи,РЯиКР
20041,473,История,История
20501,413,Робототехнические системы (ГПО-1),РС
20502,413,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
20503,413,Основы разработки программного обеспечения,ОРПО
20504,413,Компьютерная графика,КГ
20505,413,Учебно-исследовательская работа 1,УР
20506,413,Экономика,Экономика
20507,413,Дополнительные главы математики,ДГМ
20508,413,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20509,414,Робототехнические системы (ГПО-1),РС
20510,414,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
20511,414,Основы разработки программного обеспечения,ОРПО
20512,414,Компьютерная графика,КГ
20513,414,Учебно-исследовательская работа 1,УР
20514,414,Экономика,Экономика
20515,414,Дополнительные главы математики,ДГМ
20516,414,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20633,472,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20634,472,Основы информационных технологий,ОИТ
20635,472,Математическая логика и теория алгоритмов,МЛиТА
20636,472,ЭВМ и периферийные устройства,ЭВМиПУ
20637,472,Разговорный иностранный язык,РИЯ
20638,477,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20639,477,Основы информационных технологий,ОИТ
20640,477,Математическая логика и теория алгоритмов,МЛиТА
20641,477,ЭВМ и периферийные устройства,ЭВМиПУ
20642,477,Разговорный иностранный язык,РИЯ
20643,482,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",ПпПППУиНвТЧПУиННД
20644,482,Основы информационных технологий,ОИТ
20645,482,Математическая логика и теория алгоритмов,МЛиТА
20646,482,ЭВМ и периферийные устройства,ЭВМиПУ
20647,482,Разговорный иностранный язык,РИЯ
21706,93,Производственная практика (преддипломная практика),ПДП
21707,93,Теория оптимального управления,ТОУ
21708,93,Методы оптимизации,МО
21709,93,Защита информации,ЗИ
21710,93,Поектирование и техническое сопровождение компьютерных сетей,ПиТСКС
21711,93,Менеджмент,Менеджмент
21712,93,Защита выпускной квалификационной работы,ВКР
21713,93,Базы знаний,БЗ
21714,93,Экспертные системы,ЭС
21715,18,Производственная практика (преддипломная практика),ПП
21716,18,Теория оптимального управления,ТОУ
21717,18,Методы оптимизации,МО
21718,18,Защита информации,ЗИ
21719,18,Поектирование и техническое сопровождение компьютерных сетей,ПиТСКС
21720,18,Менеджмент,Менеджмент
21721,18,Защита выпускной квалификационной работы,ВКР
21722,18,Базы знаний,БЗ
21723,18,Экспертные системы,ЭС
21740,541,Теоретические основы автоматизированного управления (ГПО-1),ТОАУ
21741,541,Теория информационных систем,ТИС
21742,541,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
21743,541,Теория систем и системный анализ,ТСиСА
21744,541,Базы данных,БД
21745,541,Теория вероятности и математическая статистика,ТВиМС
21746,541,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПпППУиОПД
21747,541,Культурология,Культуролог.
21748,541,Философия,Философия
22367,127,Сети и телекоммуникации,СиТ
22368,127,Организация ЭВМ и систем,ОЭВМиС
22369,127,Автоматизация конструкторского и технологического проектирования,АКиТП
22370,127,Новые технологии в программировании,НТвП
22371,127,Безопасность жизнедеятельности,БЖ
22372,127,Геометрическое моделирование в САПР,ГМвСАПР
22373,127,Геометрическое моделирование,ГМ
22374,127,Информационные системы и САПР (ГПО-4),ИСиСАПР
22375,127,Научно-исследовательская работа студентов 1,НРС
22385,363,Программная инженерия и технология (ГПО-2),ПИиТ
22386,363,Вычислительная математика,ВМ
22387,363,Механика,Механика
22388,363,Искусственный интеллект,ИИ
22389,363,Схемотехника,Схемотехника
22390,363,Метрология и технические измерения,МиТИ
22391,363,Теория и системы управления,ТиСУ
22392,363,Теория систем и системный анализ,ТСиСА
22401,374,Программная инженерия и технология (ГПО-2),ПИиТ
22402,374,Вычислительная математика,ВМ
22403,374,Механика,Механика
22404,374,Искусственный интеллект,ИИ
22405,374,Схемотехника,Схемотехника
22406,374,Метрология и технические измерения,МиТИ
22407,374,Теория и системы управления,ТиСУ
22408,374,Теория систем и системный анализ,ТСиСА
22409,478,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
22410,478,Введение в профиль,ВвП
22411,478,Базы данных,БД
22412,478,Дискретная математика,ДМ
22413,478,Экономика,Экономика
22414,478,Структуры данных,СД
22415,483,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
22416,483,Введение в профиль,ВвП
22417,483,Базы данных,БД
