id,semester_id,course_id,name
23793,17,1141,Распределённые сервис-ориентированные системы / Межуровневая оптимизация распределённых вычислительных систем
23794,17,1141,Научно-исследовательская работа (Расср.)
23795,17,1141,Методологии и технологии проектирования информационных систем
23796,17,1141,Правовые основы рынка программного обеспечения
23797,17,1141,Математические и инструментальные методы поддержки принятия решений
23798,17,1141,Рынок ценных бумаг / Современные проблемы рынка ценных бумаг
23799,17,1140,Программирование
23800,17,1140,Информатика
23801,17,1140,Введение в информатику и вычислительную технику
23802,17,1140,Профессиональный иностранный язык
23803,17,1140,Методы оптимизации
23804,17,1140,Современные операционные системы
23805,17,1140,Современные средства программирования
23806,17,1140,Автоматизация проектирования систем и средств управления / Автоматизация конструкторского и технологического проектирования
23807,17,1140,Научно-исследовательская работа (Расср.)
23808,17,1140,Прикладная математическая статистика
23809,17,1140,Правовые основы рынка программног обеспечения
23810,17,1140,Международные информационные ресурсы и стандарты информатизации / Информационное общество и проблемы прикладной информатики
23811,17,1143,Менеджмент
23812,17,1143,Информационная безопасность
23813,17,1143,Налогообложение
23814,17,1143,Исследование операций и методы оптимизации в экономике
23815,17,1143,Проектирование информационных систем
23816,17,1143,Информационные системы в бухгалтерском учёте ****
23817,17,1143,Проектирование систем принятия решений в экономике 2 (ГПО 4)****
23818,17,1143,Технико-экономический анализ деятельности предприятия / Экономика фирмы
23826,17,1141,"Вычислительные системы, сети и телекоммуникации"
23827,17,1141,Мировая экономика
23828,17,1141,Численные методы
23829,17,1141,Разговорный иностранный язык
23830,17,1140,Основы алгоритмизации и программирования
23831,17,1143,Трудовое право
23832,17,1143,Управление персоналом
23833,17,1143,Прогнозирование и планирование
23834,17,1143,Информационные технологии в управлении
23835,17,1143,Налоги и налогообложение
23836,17,1143,Принятие и исполнение государственных решений
23837,17,1143,Планирование и организация разработки инновационной продукции (ГПО)****
23843,17,1141,Статистика
23844,17,1141,Основы государственного и муниципального управления
23845,17,1141,Теория управления
23846,17,1141,Государственное регулирование экономики
23847,17,1141,Социальная психология
23848,17,1141,Консалтинг и управление проектами в государственном и муниципальном управлении
23849,17,1141,Государственное прогнозирование и управление государственными программами
23850,17,1141,Управление административными процессами
23851,17,1141,Научный семинар: Современные проблемы развития электронного государства
23852,17,1141,"Документационное обеспечение управленческой деятельности: методы, технологии и информационные системы: методы, технологии и информационные системы / Э"
23853,17,1141,Государственные информационные ресурсы и системы/ Справочные правовые системы и ресурсы
23854,17,1140,Физическая культура и спорт
23855,17,1140,Основы делопроизводства
23856,17,1140,Математика (адаптационный курс)
23857,17,1140,"Теория, методология и нормативно-правовые механизмы государственного и муниципального управления"
23858,17,1140,Прикладной системный анализ и информационно-аналитические технологии государственного и муниципального управления
23859,17,1140,Консалтинг и управление проектами в государственном и муниципальном управлении
23860,17,1140,Научный семинар: современные проблемы развития электронного государства
23861,17,1140,Электронное правительство: вводный курс
23862,17,1140,Информационные технологии статистического анализа данных/ Моделирование социально-экономических систем и процессов
23863,17,1140,Информационные технологии в государственном и муниципальном управлении
23864,17,1141,Междисциплинарный семинар
23865,17,1141,Современные компьютерные технологии
