id,academic_year_id,number,parity,starts_at,completes_at
611,12,37,odd,2022-05-09,2022-05-14
612,12,38,even,2022-05-16,2022-05-21
613,12,39,odd,2022-05-23,2022-05-28
614,12,40,even,2022-05-30,2022-06-04
615,12,41,odd,2022-06-06,2022-06-11
616,12,42,even,2022-06-13,2022-06-18
617,12,43,odd,2022-06-20,2022-06-25
618,12,44,even,2022-06-27,2022-07-02
619,12,45,odd,2022-07-04,2022-07-09
620,12,46,even,2022-07-11,2022-07-16
621,12,47,odd,2022-07-18,2022-07-23
622,12,48,even,2022-07-25,2022-07-30
623,12,49,odd,2022-08-01,2022-08-06
624,12,50,even,2022-08-08,2022-08-13
625,12,51,odd,2022-08-15,2022-08-20
626,12,52,even,2022-08-22,2022-08-27
627,12,53,odd,2022-08-29,2022-08-31
