id,week_id,training_id,plan_loading,loading
1810296,328,117437,4,0
1810297,329,117437,4,0
1810298,330,117437,4,0
1810299,331,117437,0,0
1810300,332,117437,0,0
1810301,313,117438,0,0
1810302,314,117438,2,0
1810303,315,117438,0,0
1810304,316,117438,2,0
1810305,317,117438,0,0
1810306,318,117438,2,0
1810307,319,117438,0,0
1810308,320,117438,2,0
1810309,321,117438,0,0
1810310,322,117438,2,0
1810311,323,117438,0,0
1810312,324,117438,2,0
1810313,325,117438,0,0
1810314,326,117438,2,0
1810315,327,117438,0,0
1810316,328,117438,2,0
1810317,329,117438,0,0
1810318,330,117438,2,0
1810319,331,117438,0,0
1810320,332,117438,0,0
1810321,313,117440,0,0
1810322,314,117440,0,0
1810323,315,117440,0,0
1810324,316,117440,0,0
1810325,317,117440,0,0
1810326,318,117440,0,0
1810327,319,117440,0,0
1810328,320,117440,0,0
1810329,321,117440,0,0
1810330,322,117440,2,0
1810331,323,117440,2,0
1810332,324,117440,2,0
1810333,325,117440,2,0
1810334,326,117440,2,0
1810335,327,117440,2,0
1810336,328,117440,2,0
1810337,329,117440,2,0
1810338,330,117440,2,0
1810339,331,117440,0,0
1810340,332,117440,0,0
1810341,313,117441,0,0
1810342,314,117441,0,0
1810343,315,117441,0,0
1810344,316,117441,0,0
1810345,317,117441,0,0
1810346,318,117441,0,0
1810347,319,117441,0,0
1810348,320,117441,0,0
1810349,321,117441,0,0
1810350,322,117441,4,0
1810351,323,117441,4,0
1810352,324,117441,4,0
1810353,325,117441,4,0
1810354,326,117441,4,0
1810355,327,117441,4,0
1810356,328,117441,4,0
1810357,329,117441,4,0
1810358,330,117441,4,0
1810359,331,117441,0,0
1810360,332,117441,0,0
1810361,313,117443,0,0
1810362,314,117443,0,0
1810363,315,117443,2,0
1810364,316,117443,2,0
1810365,317,117443,2,0
1810366,318,117443,2,0
1810367,319,117443,2,0
1810368,320,117443,2,0
1810369,321,117443,2,0
1810370,322,117443,0,0
1810371,323,117443,2,0
1810372,324,117443,0,0
1810373,325,117443,2,0
1810374,326,117443,0,0
1810375,327,117443,2,0
1810376,328,117443,0,0
1810377,329,117443,2,0
1810378,330,117443,0,0
1810379,331,117443,0,0
1810380,332,117443,0,0
1810381,313,117444,0,0
1810382,314,117444,0,0
1810383,315,117444,0,0
1810384,316,117444,4,0
1810385,317,117444,0,0
1810386,318,117444,4,0
1810387,319,117444,0,0
1810388,320,117444,4,0
1810389,321,117444,0,0
1810390,322,117444,4,0
1810391,323,117444,0,0
1810392,324,117444,4,0
1810393,325,117444,0,0
1810394,326,117444,4,0
1810395,327,117444,0,0
1810396,328,117444,4,0
1810397,329,117444,0,0
1810398,330,117444,4,0
1810399,331,117444,0,0
1810400,332,117444,0,0
1810401,313,117446,2,0
1810402,314,117446,2,0
1810403,315,117446,2,0
1810404,316,117446,2,0
1810405,317,117446,2,0
1810406,318,117446,2,0
1810407,319,117446,2,0
1810408,320,117446,2,0
1810409,321,117446,2,0
1810410,322,117446,2,0
1810411,323,117446,2,0
1810412,324,117446,2,0
1810413,325,117446,2,0
1810414,326,117446,2,0
1810415,327,117446,2,0
1810416,328,117446,2,0
1810417,329,117446,0,0
1810418,330,117446,0,0
1810419,331,117446,0,0
1810420,332,117446,0,0
1810421,313,117447,2,0
1810422,314,117447,2,0
1810423,315,117447,2,0
1810424,316,117447,2,0
1810425,317,117447,2,0
1810426,318,117447,2,0
1810427,319,117447,2,0
1810428,320,117447,2,0
1810429,321,117447,2,0
1810430,322,117447,4,0
1810431,323,117447,2,0
1810432,324,117447,4,0
1810433,325,117447,2,0
1810434,326,117447,4,0
1810435,327,117447,2,0
1810436,328,117447,4,0
1810437,329,117447,0,0
1810438,330,117447,0,0
1810439,331,117447,0,0
1810440,332,117447,0,0
1810441,313,117449,2,0
1810442,314,117449,2,0
1810443,315,117449,2,0
1810444,316,117449,2,0
1810445,317,117449,2,0
1810446,318,117449,2,0
1810447,319,117449,2,0
1810448,320,117449,2,0
1810449,321,117449,0,0
1810450,322,117449,0,0
1810451,323,117449,0,0
1810452,324,117449,0,0
1810453,325,117449,0,0
1810454,326,117449,0,0
1810455,327,117449,0,0
1810456,328,117449,0,0
1810457,329,117449,0,0
1810458,330,117449,0,0
1810459,331,117449,0,0
1810460,332,117449,0,0
1810461,313,117450,4,0
1810462,314,117450,4,0
1810463,315,117450,4,0
1810464,316,117450,4,0
1810465,317,117450,4,0
1810466,318,117450,4,0
1810467,319,117450,4,0
1810468,320,117450,4,0
1810469,321,117450,4,0
1810470,322,117450,0,0
1810471,323,117450,0,0
1810472,324,117450,0,0
1810473,325,117450,0,0
1810474,326,117450,0,0
1810475,327,117450,0,0
1810476,328,117450,0,0
1810477,329,117450,0,0
1810478,330,117450,0,0
1810479,331,117450,0,0
1810480,332,117450,0,0
1810481,313,117451,4,0
1810482,314,117451,4,0
1810483,315,117451,4,0
1810484,316,117451,4,0
1810485,317,117451,4,0
1810486,318,117451,4,0
1810487,319,117451,4,0
1810488,320,117451,4,0
1810489,321,117451,4,0
1810490,322,117451,4,0
1810491,323,117451,4,0
1810492,324,117451,4,0
1810493,325,117451,4,0
1810494,326,117451,4,0
1810495,327,117451,4,0
1810496,328,117451,4,0
1810497,329,117451,4,0
1810498,330,117451,4,0
1810499,331,117451,0,0
1810500,332,117451,0,0
1810501,313,117453,0,0
1810502,314,117453,0,0
1810503,315,117453,2,0
1810504,316,117453,2,0
1810505,317,117453,2,0
1810506,318,117453,2,0
1810507,319,117453,2,0
1810508,320,117453,2,0
1810509,321,117453,2,0
1810510,322,117453,0,0
1810511,323,117453,2,0
1810512,324,117453,0,0
1810513,325,117453,2,0
1810514,326,117453,0,0
1810515,327,117453,2,0
1810516,328,117453,0,0
1810517,329,117453,2,0
1810518,330,117453,0,0
1810519,331,117453,0,0
1810520,332,117453,0,0
1810521,313,117454,0,0
1810522,314,117454,2,0
1810523,315,117454,2,0
1810524,316,117454,2,0
1810525,317,117454,2,0
1810526,318,117454,2,0
1810527,319,117454,2,0
1810528,320,117454,2,0
1810529,321,117454,2,0
1810530,322,117454,2,0
1810531,323,117454,2,0
1810532,324,117454,2,0
1810533,325,117454,2,0
1810534,326,117454,2,0
1810535,327,117454,2,0
1810536,328,117454,2,0
1810537,329,117454,2,0
1810538,330,117454,0,0
1810539,331,117454,0,0
1810540,332,117454,0,0
1810541,313,117456,2,0
1810542,314,117456,0,0
1810543,315,117456,2,0
1810544,316,117456,0,0
1810545,317,117456,2,0
1810546,318,117456,0,0
1810547,319,117456,2,0
1810548,320,117456,0,0
1810549,321,117456,2,0
1810550,322,117456,0,0
1810551,323,117456,2,0
1810552,324,117456,0,0
1810553,325,117456,2,0
1810554,326,117456,0,0
1810555,327,117456,2,0
1810556,328,117456,0,0
1810557,329,117456,2,0
1810558,330,117456,0,0
1810559,331,117456,0,0
1810560,332,117456,0,0
1810561,313,117457,0,0
1810562,314,117457,0,0
1810563,315,117457,0,0
1810564,316,117457,0,0
1810565,317,117457,0,0
1810566,318,117457,0,0
1810567,319,117457,0,0
